2Theta[deg]	I[%]
20.860	16.0
26.640	100.0
36.544	9.0
39.465	8.0
40.300	4.0
42.450	6.0
45.793	4.0
50.139	13.0
50.622	1.0
54.875	4.0
55.325	2.0
57.235	1.0
59.960	9.0
64.036	2.0
65.786	1.0
67.744	6.0
68.144	7.0
68.318	5.0
73.468	2.0
75.660	3.0
77.675	1.0
79.884	2.0
80.047	1.0
81.173	2.0
81.491	2.0
83.840	1.0
84.957	1.0
87.439	1.0
90.831	2.0
92.788	1.0
94.651	1.0
95.119	1.0
96.238	1.0
98.751	1.0
102.231	1.0
102.567	1.0
103.877	1.0
104.203	1.0
106.593	1.0
112.114	1.0
114.061	1.0
114.467	2.0
114.639	2.0
115.885	1.0
117.537	1.0
118.313	1.0
120.124	1.0
121.853	1.0
122.605	1.0
127.251	1.0
131.203	1.0
132.756	1.0
134.293	1.0
136.424	1.0
137.895	2.0
140.318	1.0
143.251	3.0
144.119	1.0
